id,name,country_id,is_active,lat,long
73,Abbigeri,76,TRUE,13.0767,77.525
74,Abbigeri,76,TRUE,15.5862,75.7502
81,Abdullahnagar,76,TRUE,25.7683,87.5557
105,Abhayapuri,76,TRUE,26.3225,90.6853
106,Abhia,76,TRUE,25.3499,87.1427
107,Abhwar,76,TRUE,26.174,86.6324
117,Abiramam,76,TRUE,9.4423,78.4399
120,Ablu,76,TRUE,30.3391,74.7879
122,Abohar,76,TRUE,30.1334,74.2001
146,Abu,76,TRUE,24.5925,72.7083
208,Achaljamu,76,TRUE,24.0243,85.8306
209,Achampet,76,TRUE,16.6299,80.1213
210,Achankovil,76,TRUE,8.9667,77.1431
211,Acharipallam,76,TRUE,8.17,77.3698
213,Achchampeta,76,TRUE,17.0941,82.3099
214,Achchippatti,76,TRUE,10.6989,77.015
217,Achhnera,76,TRUE,27.18,77.77
274,Adalaj,76,TRUE,23.17,72.58
276,Adalhat,76,TRUE,25.282,82.9563
277,Adalpur,76,TRUE,26.191,86.0239
278,Adamankottai,76,TRUE,12.0742,78.1237
281,Adampur,76,TRUE,31.4322,75.7148
287,Addanki,76,TRUE,15.8167,79.9833
304,Adesar,76,TRUE,23.5589,70.9833
309,Adigappadi,76,TRUE,12.1459,78.0946
310,Adigaratti,76,TRUE,11.3357,76.6971
311,Adigoppula,76,TRUE,16.4402,79.6235
313,Adilabad,76,TRUE,19.6667,78.5333
317,Adivala,76,TRUE,13.9131,76.6619
318,Adiyakkamangalam,76,TRUE,10.7626,79.6775
334,Adoni,76,TRUE,15.6279,77.2749
336,Adra,76,TRUE,23.5,86.67
344,Adukam,76,TRUE,9.7954,76.8456
346,Aduru,76,TRUE,12.5583,75.1357
348,Advi Devalpalli,76,TRUE,16.6631,79.5139
376,Afzala,76,TRUE,25.9319,86.2293
377,Afzalpur,76,TRUE,17.2011,76.3611
378,Agadallanka,76,TRUE,16.7123,81.2732
380,Agadi,76,TRUE,14.819,75.469
388,Agar,76,TRUE,23.7118,76.0157
389,Agaram,76,TRUE,10.4433,77.9485
392,Agarpur,76,TRUE,25.1957,87.0423
393,Agartala,76,TRUE,23.8314,91.2869
417,Aginiparru,76,TRUE,16.6817,80.7839
424,Agiripalle,76,TRUE,16.6833,80.65
436,Agra,76,TRUE,27.18,78.02
500,Ahirauliya,76,TRUE,26.5091,84.7999
501,Ahiro,76,TRUE,24.9192,87.1054
505,Ahmadabad,76,TRUE,25.3019,87.7938
507,Ahmadnagar,76,TRUE,19.08,74.73
508,Ahmadpur,76,TRUE,18.7,76.9333
509,Ahmadpur,76,TRUE,23.8365,87.6912
512,Ahmedabad,76,TRUE,23.0225,72.5714
516,Ahor,76,TRUE,25.367,72.783
526,Ahwa,76,TRUE,20.75,73.6833
540,Aikaranad,76,TRUE,10.0002,76.455
607,Ainapur,76,TRUE,16.48,74.78
645,Aivanallur,76,TRUE,11.2161,79.5392
648,Aiyampuzha,76,TRUE,10.25,76.4667
